,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude,altitude
8803,MMR008001027,Twin Byee,တွင်းဗြည်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8804,MMR008001028,Paung Ta Lei,ပေါင်းတလည်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8805,MMR008001029,Byu Kone,ဗြူးကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8806,MMR008001030,Bant Pyin,ဘန့်ပြင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8807,MMR008001031,Myaung Son,မြောင်းဆုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8808,MMR008001032,Hmaw Zar,မှော်ဇာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8809,MMR008001033,Hmoke Shey,မှုတ်ရှည်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8810,MMR008001034,Ywar Ma Gyi,ရွာမကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8811,MMR008001035,Ah Shey Let Khoke Pin,အရှေ့လက်ခုတ်ပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8812,MMR008001036,Thea Kone,သဲကုန်း,ကျေးရွာအုပ်စု,Village Tract,"သဲကုန်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.075029, 94.482948, 0.0)",18.075029,94.482948,0.0
8813,MMR008001037,Ah Shey Pauk Taw,အရှေ့ပေါက်တော,ကျေးရွာအုပ်စု,Village Tract,,,,,
8814,MMR008001038,Let Pan Taw,လက်ပံတော,ကျေးရွာအုပ်စု,Village Tract,"လက်ပံတော, Thaton District, Mon, Myanmar","(16.6132878, 97.6076902, 0.0)",16.6132878,97.6076902,0.0
8815,MMR008001039,Te Kone,တဲကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8816,MMR008001040,Oke Swea,အုတ်ဆွဲ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8817,MMR008001041,Kya Khat,ကြခတ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8818,MMR008001042,Kyar Inn,ကြာအင်း,ကျေးရွာအုပ်စု,Village Tract,"ကြာအင်း, ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.4968239, 98.1585391, 0.0)",16.4968239,98.1585391,0.0
8819,MMR008001043,Ngar Ywar,ငါးရွာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8820,MMR008001044,Zee Oke,ဇီးအုပ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8821,MMR008001045,Za Lon,ဇလုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8822,MMR008001046,Htan Ma Kauk,ထမ္မကောက်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8823,MMR008001047,Nat Ta Lin,နတ္တလင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8824,MMR008001048,Mway Yoe,မြွေရိုး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8825,MMR008001049,Ma Au Taw,မအူတော,ကျေးရွာအုပ်စု,Village Tract,"မအူတော, ကျောက်ဖြူခရိုင်, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.325979, 93.611603, 0.0)",19.325979,93.611603,0.0
8826,MMR008001050,Thit Chi Tin,သစ်ချီတင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8827,MMR008001051,Ah Nauk Let Khoke Pin,အနောက်လက်ခုပ်ပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8828,MMR008001052,Kone Thar Lin,ကုန်းသာလင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8829,MMR008001053,Ah Nauk Ywar Thit,အနောက်ရွာသစ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8830,MMR008001054,Bo Kone,ဘိုကုန်း,ကျေးရွာအုပ်စု,Village Tract,"ဘိုကုန်း, အင်းစိန်လမ်း, Lann Thit Group, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11111, Myanmar","(16.9009461, 96.1065539, 0.0)",16.9009461,96.1065539,0.0
8831,MMR008001055,Myauk Na Win Ywar Thit Gyi,မြောက်နဝင်းရွာသစ်ကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8832,MMR008001056,Ywar Ma,ရွာမ,ကျေးရွာအုပ်စု,Village Tract,"Ywar Ma ရွာမ, ပြင်ဦးလွင်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.8834755, 96.3128404, 0.0)",21.8834755,96.3128404,0.0
8833,MMR008002001,Yat Thit,ရပ်သစ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8834,MMR008002002,Wet Toe,ဝက်တိုး,ကျေးရွာအုပ်စု,Village Tract,"ဝက်တိုး, မိတ္ထီလာခရိုင်, မန္တလေးတိုင်း, Myanmar","(20.99287, 96.010841, 0.0)",20.99287,96.010841,0.0
8835,MMR008002003,Tha Phan Cho,သဖန်းချို,ကျေးရွာအုပ်စု,Village Tract,,,,,
8836,MMR008002004,Bant Pyin,ဘန့်ပြင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8837,MMR008002005,Paung Sa Par,ပေါင်းစပါး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8838,MMR008002006,Ywar Htaung,ရွာထောင်,ကျေးရွာအုပ်စု,Village Tract,"Ywar Htaung Station (ရွာထောင်), AH1;AH2, စစ်ကိုင်း, စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.9049198, 95.9713152, 0.0)",21.9049198,95.9713152,0.0
8839,MMR008002007,Kywe Paung Pin,ကျွဲပေါင်ပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8840,MMR008002008,Nyaung Pin Thar,ညောင်ပင်သာ,ကျေးရွာအုပ်စု,Village Tract,"Nyaung Pin Thar ညောင်ပင်သာ, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.7754082, 96.1673708, 0.0)",21.7754082,96.1673708,0.0
8841,MMR008002009,Chaung Zauk,ချောင်းဇောက်,ကျေးရွာအုပ်စု,Village Tract,,,,,
