,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
486,MMR002004701,Shadaw Town,ရှားတော,မြို့,Town,"ရှားတော, ဥတ္တရခရိုင်, နေပြည်တော် ပြည်ထောင်စုနယ်မြ, Myanmar","(20.105061, 96.166191, 0.0)",20.105061,96.166191
487,MMR002005701,Bawlake Town,ဘောလခဲ,မြို့,Town,"ဘောလခဲ, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.1710509, 97.3421041, 0.0)",19.171050899999997,97.3421041
488,MMR002005702,Ywarthit Town,ရွာသစ်,မြို့,Town,"ရွာသစ်, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.166731, 97.499496, 0.0)",19.166731,97.499496
490,MMR002007701,Mese Town,မယ်စဲ,မြို့,Town,"မယ်စဲ, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(18.7451515, 97.5431188409926, 0.0)",18.745151500000002,97.54311884099259
491,MMR003001701,Hpa-An Town,ဘားအံ,မြို့,Town,"ဘားအံ, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(16.8902634, 97.6362745, 0.0)",16.8902634,97.6362745
492,MMR003002701,Hlaingbwe Town,လှိုင်းဘွဲ့,မြို့,Town,"လှိုင်းဘွဲ့, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1251593, 97.8190019, 0.0)",17.1251593,97.8190019
493,MMR003002702,Paingkyon Town,ပိုင်ကျုံ,မြို့,Town,"ပိုင်ကျုံ, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.0217676, 97.9866681, 0.0)",17.0217676,97.9866681
494,MMR003002703,Shan Ywar Thit Town,ရှမ်းရွာသစ်,မြို့,Town,"ရှမ်းရွာသစ်, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.42438, 97.887784, 0.0)",17.42438,97.887784
495,MMR003003701,Hpapun Town,ဖာပွန်,မြို့,Town,"ဖာပွန်, ဖာပွန်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(18.06496, 97.444878, 0.0)",18.06496,97.444878
496,MMR003003702,Kamarmaung Town,ကမမောင်း,မြို့,Town,"ကမမောင်း, ဖာပွန်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.346884, 97.652899, 0.0)",17.346884,97.652899
497,MMR003004701,Thandaunggyi Town,သံတောင်ကြီး,မြို့,Town,"သံတောင်ကြီး, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(19.0545611, 96.74071154035488, 0.0)",19.0545611,96.74071154035488
498,MMR003004702,Thandaung Town,သံတောင်,မြို့,Town,"Than Taung, ပြင်ဦးလွင်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.7979498, 96.4192383, 0.0)",21.7979498,96.41923829999999
499,MMR003004703,Leik Tho Town,လိပ်သို,မြို့,Town,"လိပ်သို, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(19.222353, 96.580974, 0.0)",19.222353,96.580974
500,MMR003004704,Baw Ga Li Town,ဘောဂလိ,မြို့,Town,"ဘောဂလိ, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(18.914513, 96.785645, 0.0)",18.914513,96.785645
