,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
350,MMR013039,Sanchaung,စမ်းချောင်း,မြို့နယ်,Township,"စမ်းချောင်း, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8061661, 96.1321384, 0.0)",16.806166100000002,96.1321384
351,MMR013040,Hlaing,လှိုင်,မြို့နယ်,Township,"လှိုင်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8430511, 96.1234366, 0.0)",16.843051100000004,96.12343659999999
352,MMR013041,Kamaryut,ကမာရွတ်,မြို့နယ်,Township,"ကမာရွတ်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8237948, 96.1320589, 0.0)",16.8237948,96.1320589
353,MMR013042,Mayangone,မရမ်းကုန်း,မြို့နယ်,Township,"မရမ်းကုန်း, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8660884, 96.1171103, 0.0)",16.8660884,96.11711030000001
354,MMR013043,Dagon,ဒဂုံ,မြို့နယ်,Township,"ဒဂုံ, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.7923726, 96.1443386, 0.0)",16.792372600000004,96.1443386
355,MMR013044,Bahan,ဗဟန်း,မြို့နယ်,Township,"ဗဟန်း, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8061396, 96.1512582, 0.0)",16.8061396,96.1512582
356,MMR013045,Seikkan,ဆိပ်ကမ်း,မြို့နယ်,Township,"ဆိပ်ကမ်း, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.7711884, 96.1501676, 0.0)",16.7711884,96.1501676
358,MMR013047,Hlaingtharya (West),လှိုင်သာယာ(အနောက်ပိုင်း),မြို့နယ်,Township,"အနောက်ပိုင်း တက္ကသိုလ်, West University, လှိုင်သာယာ, ထန်းတပင်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11401, Myanmar","(16.94719, 96.0158699, 0.0)",16.94719,96.0158699
359,MMR014001,Taunggyi,တောင်ကြီး,မြို့နယ်,Township,"တောင်ကြီး, မြောက်ဦးခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(20.06513, 93.539047, 0.0)",20.06513,93.539047
360,MMR014002,Nyaungshwe,ညောင်ရွှေ,မြို့နယ်,Township,"ညောင်ရွှေ, တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, 06081, Myanmar","(20.3593344, 96.90721525418596, 0.0)",20.359334399999998,96.90721525418594
