,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
7957,MMR006007012,Pa La,ပလ,ကျေးရွာအုပ်စု,Village Tract,"Pala, Meenachil, Kottayam, Kerala, 686575, India","(9.7130742, 76.6831302, 0.0)",9.7130742,76.68313020000001
7958,MMR006007013,Min Htein,မင်းထိန်,ကျေးရွာအုပ်စု,Village Tract,"မင်းထိန် Min Htein, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.9196177, 98.6733842, 0.0)",12.9196177,98.6733842
7959,MMR006007014,Ma Li,မလိ,ကျေးရွာအုပ်စု,Village Tract,"Малай, Жарминский район, Восточно-Казахстанская область, Kazakhstan","(49.019646, 81.363373, 0.0)",49.019646,81.363373
7960,MMR006007015,Shan Dut,ရှမ်းဒွတ်,ကျေးရွာအုပ်စု,Village Tract,"ရှမ်းဒွတ် Shan Dut, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.0435678, 98.683759, 0.0)",13.043567800000002,98.683759
7961,MMR006007016,Shat Pon,ရှပ်ပုံ,ကျေးရွာအုပ်စု,Village Tract,"ရှပ်ပုံ Shat Pone, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.9775022, 98.6287093, 0.0)",12.9775022,98.6287093
7962,MMR006007017,Kyauk Kar,ကျောက္ကာ,ကျေးရွာအုပ်စု,Village Tract,"ကျောက္ကာ Kyauk Kar, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.7553958, 98.6322713, 0.0)",12.7553958,98.6322713
7963,MMR006007018,Leik Thaung,လိပ်သောင်,ကျေးရွာအုပ်စု,Village Tract,"လိပ်သောင် Leik Thaung, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.1158177, 98.5733483, 0.0)",13.1158177,98.5733483
7965,MMR006007020,Ma Gyi Kone,မကျည်းကုန်း,ကျေးရွာအုပ်စု,Village Tract,"မကျည်းကုန်း, ကျောက်ဖြူခရိုင်, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.774469, 93.735069, 0.0)",18.774469,93.735069
7966,MMR006007021,Pyin Bu Gyi,ပြင်ဘုကြီး,ကျေးရွာအုပ်စု,Village Tract,"ပြင်ဘုကြီး Pyin Bu Gyi, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.174267, 98.4988475, 0.0)",13.174267,98.4988475
7967,MMR006007022,Pyi Char,ပြည်ခြား,ကျေးရွာအုပ်စု,Village Tract,"ပြည်ခြား, မြောက်ဦးခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.98448, 93.602737, 0.0)",19.984479999999998,93.602737
7968,MMR006007023,Khan Ti,ခန္တီ,ကျေးရွာအုပ်စု,Village Tract,"ခန္တီ Kan Ti, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.1615533, 98.544327, 0.0)",13.1615533,98.544327
7969,MMR006007024,Sin Htoe Gyi,ဆင်ထိုးကြီး,ကျေးရွာအုပ်စု,Village Tract,"ဆင်ထိုးကြီး Sin Hto Gyi, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.3137519, 98.5818596, 0.0)",13.3137519,98.58185959999999
